年平均每日交通量,主梁材質_預力混凝土,平均月相對濕度,橋梁總長(M),離海岸距離(公尺),設計垂直地震力係數,是否為跨水橋,橋梁最接近斷層距離,橋下有無租用,label
82109.0,1,76.23863636,805.24,8302,0.05,1,955.2,0,0
17519.0,1,76.23863636,90.62,7988,0.1,1,790.51,0,0
63279.0,1,81.56313131,20.04,16040,0.05,1,355.75,0,0
63279.0,1,81.56313131,20.04,16024,0.05,1,333.15,0,0
91928.0,1,81.56313131,41.0,8927,0.04,0,12349.35,0,0
90022.0,1,81.56313131,41.0,8911,0.04,0,12363.22,0,0
74040.0,1,81.56313131,35.53,13198,0.05,0,7622.15,0,0
74040.0,1,81.56313131,22.14,14030,0.05,0,6072.53,0,0
66916.0,1,81.56313131,25.02,16668,0.05,0,831.82,0,0
63279.0,1,81.56313131,40.6,16722,0.05,0,366.65,0,0
63279.0,1,81.56313131,20.29,15069,0.05,0,464.3,0,0
63279.0,1,81.56313131,20.29,15065,0.05,0,446.58,0,0
97343.0,1,81.56313131,40.0,10725,0.05,1,13311.85,0,0
87343.0,1,81.56313131,37.88,11329,0.05,0,12745.44,0,0
97343.0,1,81.56313131,35.0,10732,0.05,1,13310.42,0,0
5555.0,1,76.78156566,108.5,7163,0.05,0,6989.2,0,0
90022.0,1,76.78156566,94.9,6957,0.05,0,7562.24,0,0
91928.0,0,81.56313131,318.22,8956,0.05,0,12078.39,1,0
98634.0,0,81.56313131,258.1,9094,0.05,0,12091.13,1,0
74040.0,1,81.56313131,233.81,12615,0.05,0,9006.79,0,0
74040.0,0,81.56313131,659.6,12493,0.05,0,8685.49,0,0
7404.0,1,81.56313131,330.0,16163,0.05,0,3288.63,0,0
7404.0,0,81.56313131,239.52,16300,0.05,0,3078.96,0,0
7404.0,1,81.56313131,360.0,16502,0.05,0,2967.7,0,0
6980.0,0,81.56313131,208.72,16309,0.05,0,3121.04,0,0
6980.0,0,81.56313131,240.0,16432,0.05,0,2988.11,0,0
7404.0,1,81.56313131,245.0,16192,0.05,0,2950.55,0,0
66916.0,0,81.56313131,240.0,16182,0.05,0,3213.63,0,0
7404.0,1,81.56313131,270.0,16296,0.05,0,3052.51,0,0
21121.0,0,76.23863636,52.0,8911,0.1,0,1031.75,0,0
18022.0,1,76.78156566,350.0,10685,0.1,1,15093.99,1,0
55214.0,1,75.18181818,680.22,16896,0.04,1,11022.43,1,0
54426.0,1,75.18181818,680.22,16889,0.04,1,11011.93,1,0
55214.0,1,75.18181818,52.0,16247,0.04,1,8281.28,0,0
